"employment_rate_overall","gross_monthly_mean","category"
92.2,3629,"Social Sciences1"
92.7,3742,"Social Sciences1"
93.5,3666,"Social Sciences1"
89.9,3626,"Social Sciences1"
90.6,3784,"Social Sciences1"
92.5,3850,"Social Sciences1"
94.1,3836,"Social Sciences1"
96.9,4063,"Social Sciences1"
88.1,3210,"Social Sciences2"
86.5,3150,"Social Sciences2"
87.5,3267,"Social Sciences2"
88.7,3304,"Social Sciences2"
90.9,3166,"Social Sciences2"
87.5,3545,"Social Sciences2"
88.6,3442,"Social Sciences2"
89,3550,"Social Sciences2"
93.1,4012,"Social Sciences2"
89.5,3423,"Social Sciences2"
91.5,3311,"Social Sciences2"
94.9,3548,"Social Sciences2"
88.3,3443,"Social Sciences2"
91.3,3493,"Social Sciences2"
87.9,3938,"Social Sciences2"
88.2,3526,"Social Sciences2"
85.6,3409,"Social Sciences2"
84.2,3880,"Social Sciences2"
88,3674,"Social Sciences2"
92.2,3629,"Social Sciences2"
92.7,3742,"Social Sciences2"
93.5,3666,"Social Sciences2"
89.9,3626,"Social Sciences2"
90.6,3784,"Social Sciences2"
92.5,3850,"Social Sciences2"
94.1,3836,"Social Sciences2"
96.9,4063,"Social Sciences2"
97.3,3486,"Social Sciences3"
94.7,3461,"Social Sciences3"
82.4,3061,"Social Sciences4"
66.7,3228,"Social Sciences4"
73.3,3264,"Social Sciences4"
82.1,3136,"Social Sciences4"
90.1,3355,"Social Sciences4"
89.2,3506,"Social Sciences4"
83.8,3433,"Social Sciences4"
91.8,3362,"Social Sciences4"
74.1,3479,"Social Sciences5"
80.6,3619,"Social Sciences5"
90.2,3868,"Social Sciences5"
92.5,4043,"Social Sciences5"
83.3,4105,"Social Sciences5"
74.4,3082,"Social Sciences6"
73.2,3143,"Social Sciences6"
85.7,3402,"Social Sciences6"
86.1,3480,"Social Sciences6"
80.2,3374,"Social Sciences6"
86.9,3441,"Social Sciences6"
95.4,3598,"Social Sciences6"
91.3,3567,"Social Sciences6"
89.4,2956,"Social Sciences7"
86.7,2976,"Social Sciences7"
85.1,3008,"Social Sciences7"
87.7,2996,"Social Sciences7"
92.6,3184,"Social Sciences7"
95,3166,"Social Sciences7"
90.4,3264,"Social Sciences7"
94.9,3440,"Social Sciences7"
96.9,3548,"Social Sciences7"
89.9,3148,"Social Sciences8"
90.6,3513,"Social Sciences8"
94,3820,"Social Sciences8"
88.7,3222,"Social Sciences8"
88.4,3142,"Social Sciences8"
90.2,3645,"Social Sciences8"
90.6,3824,"Social Sciences8"
87.4,3496,"Social Sciences8"
95.3,3440,"Social Sciences8"
90.3,3946,"Social Sciences8"
98.2,4380,"Social Sciences8"
91.3,3440,"Social Sciences8"
89.4,3458,"Social Sciences8"
93.4,3906,"Social Sciences8"
97,4425,"Social Sciences8"
84.7,3379,"Social Sciences8"
89.8,3625,"Social Sciences8"
91.3,4143,"Social Sciences8"
93.2,4737,"Social Sciences8"
90.1,3755,"Social Sciences8"
96.3,3569,"Social Sciences8"
91.1,4140,"Social Sciences8"
93.4,4721,"Social Sciences8"
88.2,3453,"Social Sciences8"
93.5,3996,"Social Sciences8"
87.1,4159,"Social Sciences8"
94.2,4520,"Social Sciences8"
100,4516,"Social Sciences8"
91.8,3926,"Social Sciences8"
87.1,3949,"Social Sciences8"
91.5,4290,"Social Sciences8"
94.7,4749,"Social Sciences8"
90.9,4566,"Social Sciences8"
93.5,3720,"Social Sciences8"
91,4039,"Social Sciences8"
91.8,4777,"Social Sciences8"
94.1,5310,"Social Sciences8"
80,3126,"Social Sciences9"
82.6,3369,"Social Sciences9"
96.3,3580,"Social Sciences9"
88.5,3502,"Social Sciences9"
89.2,3322,"Information Systems"
93.6,3468,"Information Systems"
100,3862,"Information Systems"
95.5,3789,"Information Systems"
92.9,3530,"Information Systems"
97.4,4151,"Information Systems"
97.2,3699,"Information Systems"
94.8,3660,"Information Systems"
97.4,3834,"Information Systems"
86,3952,"Information Systems"
94,3969,"Information Systems"
95.7,3897,"Information Systems"
97.5,4603,"Information Systems"
91.9,4232,"Information Systems"
94.5,4192,"Information Systems"
95.1,4014,"Information Systems"
96.1,4305,"Information Systems"
100,4175,"Information Systems"
98.4,4472,"Information Systems"
93.6,4160,"Information Systems"
100,4659,"Information Systems"
97.3,4544,"Information Systems"
95.9,4330,"Information Systems"
95.1,4549,"Information Systems"
98,5212,"Information Systems"
88.8,4636,"Information Systems"
98.6,4764,"Information Systems"
93.1,4683,"Information Systems"
93.3,5064,"Information Systems"
96.9,4734,"Information Systems"
97.5,5217,"Information Systems"
98.2,4906,"Information Systems"
97.4,5499,"Information Systems"
95.6,3111,"Maritime Studies"
92.5,3206,"Maritime Studies"
95,3271,"Maritime Studies"
94.2,3328,"Maritime Studies"
93.3,3409,"Maritime Studies"
98.3,3669,"Maritime Studies"
90.8,3646,"Maritime Studies"
98.4,3763,"Maritime Studies"
